tiltX,tiltY,tiltZ,accAngleX,accAngleY,accAngleZ,gyroX,gyroY,gyroZ,Click,RotDir,RotVal
0.41,-86.01,84.11,86.01,42.18,0.61,65,290,11,0,NA,0
0.43,-85.42,84.20,85.42,59.37,0.48,50,271,-6,0,NA,0
-0.20,-88.21,83.73,88.21,-18.28,0.62,86,289,-6,0,NA,0
-0.24,-87.27,84.06,87.27,-36.65,0.37,79,278,33,0,NA,0
-0.21,-86.56,84.17,86.56,-21.68,0.50,80,292,-26,0,NA,0
-0.03,-84.78,84.60,84.78,-3.27,0.03,60,272,16,0,NA,0
-0.04,-88.12,84.32,88.12,-5.02,0.44,83,295,-24,0,NA,0
0.31,-86.85,84.05,86.85,31.23,0.58,76,286,20,0,NA,0
-0.01,-88.90,84.12,88.90,-1.67,0.47,83,283,14,0,NA,0
0.24,-85.81,84.38,85.81,22.82,0.52,87,290,-11,0,NA,0
0.39,-84.37,83.83,84.37,37.85,0.44,85,283,0,0,NA,0
-0.17,-88.13,84.07,88.13,-29.50,0.33,73,302,24,0,NA,0
0.06,-88.89,84.19,88.89,6.96,0.45,77,290,2,0,NA,0
0.17,-87.99,84.48,87.99,30.17,0.32,70,276,6,0,NA,0
0.13,-86.17,84.23,86.17,12.45,0.46,72,279,-11,0,NA,0
0.24,-87.32,83.61,87.32,56.99,0.22,105,305,-2,0,NA,0
-0.04,-86.40,84.16,86.40,-4.16,0.45,80,304,-9,0,NA,0
0.10,-86.80,83.91,86.80,11.88,0.36,93,272,13,0,NA,0
-0.17,-86.42,84.38,86.42,-17.00,0.49,70,272,-7,0,NA,0
0.10,-89.01,83.86,89.01,11.93,0.47,74,285,-10,0,NA,0
0.21,-85.55,84.10,85.55,24.21,0.31,82,328,-1,0,NA,0
0.06,-89.26,83.86,89.26,6.86,0.47,80,353,10,0,NA,0
8.24,-78.95,87.90,78.95,87.25,0.56,10915,14822,-1003,0,NA,0
10.95,88.30,101.45,-88.30,88.47,0.44,30126,21087,-9234,0,NA,0
0.05,89.27,114.03,-89.27,5.98,0.29,26643,27758,-8839,0,NA,0
38.31,88.77,119.03,-88.77,88.93,0.76,30403,32767,-8761,0,NA,0
45.00,90.00,131.20,-90.00,89.97,0.03,30573,23121,-7608,0,NA,0
147.08,-86.68,-76.56,86.68,89.07,179.45,17873,18701,-3266,0,NA,0
38.68,89.26,130.10,-89.26,88.93,0.76,-1383,1529,-3248,0,NA,0
85.24,88.95,172.55,-88.95,89.43,6.68,-11862,-995,-5234,0,NA,0
59.31,89.55,161.07,-89.55,88.75,2.04,-3119,-3419,-3106,0,NA,0
50.56,89.30,145.23,-89.30,89.81,0.49,-263,-1560,1853,0,NA,0
50.93,89.18,146.01,-89.18,88.89,0.98,-1431,757,1185,0,NA,0
53.98,89.43,146.84,-89.43,89.66,0.83,-3309,-2127,986,0,NA,0
37.84,89.58,133.80,-89.58,89.15,0.42,875,4112,-120,0,NA,0
50.58,89.32,148.24,-89.32,89.16,0.81,-5705,-888,480,0,NA,0
44.81,89.60,146.03,-89.60,89.18,0.62,-4773,-1589,1347,0,NA,0
42.23,89.93,146.60,-89.93,88.78,1.10,-5481,-3543,1512,0,NA,0
-99.96,89.51,-167.12,-89.51,-88.89,177.55,-9576,10122,-121,0,NA,0
25.94,89.42,140.16,-89.42,88.95,0.46,-8286,4381,-5175,0,NA,0
